[2026-01-15T05:06:28+08:00][info] 任务开始: ID=24, 名称=测试2
[2026-01-15T05:10:15+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-01-15T05:14:29+08:00][info] 任务开始: ID=24, 名称=测试2
[2026-01-15T05:19:41+08:00][info] 任务开始: ID=24, 名称=测试2
[2026-01-15T14:52:11+08:00][info] 任务开始: ID=24, 名称=测试2
[2026-01-15T15:07:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T15:07:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T15:10:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T15:55:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T16:03:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T16:09:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T16:13:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T16:15:46+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T16:21:47+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T16:48:52+08:00][info] 任务开始: ID=24, 名称=测试2
[2026-01-15T18:24:43+08:00][info] 任务开始: ID=24, 名称=测试2
[2026-01-15T18:46:49+08:00][error] 错误信息:controller not exists:app\admin\controller\Env
[2026-01-15T18:47:14+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-01-15T23:58:47+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-15T23:58:47+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
