[2026-01-24T00:57:03+08:00][info] 任务停止: ID=27, 名称=3333
[2026-01-24T00:57:06+08:00][info] 任务停止: ID=26, 名称=测试111
[2026-01-24T00:57:09+08:00][info] 任务停止: ID=25, 名称=测试222
[2026-01-24T00:57:42+08:00][info] 任务开始: ID=27, 名称=3333
[2026-01-24T00:57:51+08:00][info] 任务开始: ID=26, 名称=测试111
[2026-01-24T00:58:11+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-01-24T01:02:20+08:00][error] [0]only array cache can be push[/www/wwwroot/tdata.tgbota.top/vendor/topthink/framework/src/think/cache/Driver.php:120]
[2026-01-24T01:14:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T01:14:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T01:25:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T01:25:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T01:25:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T01:28:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T01:28:20+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-01-24T08:22:33+08:00][info] 任务开始: ID=27, 名称=3333
[2026-01-24T13:33:38+08:00][info] 任务开始: ID=27, 名称=3333
[2026-01-24T13:35:55+08:00][info] 任务开始: ID=26, 名称=测试111
[2026-01-24T14:39:22+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
