[2026-02-07T01:53:46+08:00][info] https://tdata.tgbota.top
[2026-02-07T01:53:46+08:00][info] /uploads
[2026-02-07T01:53:47+08:00][error] [0]app\admin\controller\Mtarchive::handleMultiAccountZip(): Argument #3 ($cateid) must be of type int, string given, called in /www/wwwroot/tdata.tgbota.top/app/admin/controller/Mtarchive.php on line 244[/www/wwwroot/tdata.tgbota.top/app/admin/controller/Mtarchive.php:268]
[2026-02-07T01:54:12+08:00][info] https://tdata.tgbota.top
[2026-02-07T01:54:12+08:00][info] /uploads
[2026-02-07T01:54:14+08:00][info] 批次batch_69862ac6878e10.06672695：子批次0（100个账号）投递成功，任务ID：nWTveQuuzLqEPMnKYfhhSxUyoVnSrHDy
[2026-02-07T01:54:14+08:00][info] 批次batch_69862ac6878e10.06672695：子批次1（50个账号）投递成功，任务ID：mnXAsbtprizLQgxDMHClgTuGQOXGQzuY
[2026-02-07T01:54:14+08:00][info] 批次batch_69862ac6878e10.06672695处理完成：总账号150，子批次2，成功入队150个
[2026-02-07T01:54:14+08:00][info] 返回结果: {"total":150,"queued":150,"failed":0,"chunk_count":2,"errors":[],"batch_id":"batch_69862ac6878e10.06672695"}
[2026-02-07T01:54:36+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T01:55:53+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T01:56:10+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T01:56:15+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-07T01:56:43+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-07T01:57:18+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-07T01:57:48+08:00][warning] [checkAccount] 以下账号 session 不存在: 2409,2410,2411,2412,2413,2414,2415,2416,2417,2418,2419,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2432,2433,2434,2435,2436,2437,2438,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,2487,2488,2489,2490,2491,2492,2493,2494,2495,2496,2497,2498,2499,2500,2501,2502,2503,2504,2505,2506,2507,2508,2509,2510,2511,2512,2513,2514,2515,2516,2517,2518,2519,2520,2521,2522,2523,2524,2525,2526,2527,2528,2529,2530,2531,2532,2533,2534,2535,2536,2537,2538,2539,2540,2541,2542,2543,2544,2545,2546,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558
[2026-02-07T01:57:58+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T01:58:02+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-07T01:58:40+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-07T02:00:06+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T02:00:18+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T02:05:27+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T02:05:33+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-07T02:09:33+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-07T02:15:04+08:00][info] 任务开始: ID=32, 名称=二6
[2026-02-07T02:15:39+08:00][info] 任务开始: ID=33, 名称=二5
[2026-02-07T02:16:19+08:00][info] 任务开始: ID=34, 名称=二4
[2026-02-07T02:17:07+08:00][info] 任务开始: ID=35, 名称=二3
[2026-02-07T02:17:55+08:00][info] 任务开始: ID=36, 名称=二2
[2026-02-07T02:18:48+08:00][info] 任务开始: ID=37, 名称=二1
[2026-02-07T03:29:02+08:00][warning] [checkAccount] 以下账号 session 不存在: 2386,2387
[2026-02-07T03:29:07+08:00][info] 用户归档缓存已强制从数据库更新，共处理 2 个用户
[2026-02-07T09:05:13+08:00][error] 错误信息:controller not exists:app\admin\controller\Env
[2026-02-07T12:01:30+08:00][error] 错误信息:controller not exists:app\admin\controller\Env
[2026-02-07T14:35:06+08:00][info] 任务停止: ID=25, 名称=测试222
[2026-02-07T14:35:08+08:00][info] 任务停止: ID=26, 名称=测试111
[2026-02-07T14:35:10+08:00][info] 任务停止: ID=27, 名称=3333
[2026-02-07T14:35:13+08:00][info] 任务停止: ID=28, 名称=555
[2026-02-07T14:35:15+08:00][info] 任务停止: ID=29, 名称=5
[2026-02-07T14:35:18+08:00][info] 任务停止: ID=31, 名称=666
[2026-02-07T14:36:51+08:00][warning] [accountup] 以下用户代理信息缺失: 1282,1283,1306,1310,1312,1316,1319,2275,2276,2277,2278,2279,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2304,2305,2306,2307,2308,2309,2310,2311,2312,2313,2314,2315,2316,2317,2318,2319,2321,2322,2323,2324,2325,2326,2327,2328,2329,2330,2331,2332,2333,2334,2335,2336,2337,2338,2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2349,2350,2351,2352,2353,2354,2355,2356,2357,2358,2359,2360,2361,2362,2363,2364,2365,2366,2367,2368,2369,2370,2371,2372,2373,2374,2375,2376,2377,2378,2380,2381,2382,2383,2384,2385
[2026-02-07T14:37:40+08:00][info] 用户归档缓存已强制从数据库更新，共处理 150 个用户
[2026-02-07T14:37:45+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-07T14:39:11+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T14:39:32+08:00][info] 任务开始: ID=29, 名称=5
[2026-02-07T14:39:39+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T14:39:44+08:00][info] 任务开始: ID=29, 名称=5
[2026-02-07T14:40:03+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T14:40:12+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T14:40:38+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-07T14:40:43+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-07T14:41:04+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-07T14:41:32+08:00][info] 任务开始: ID=26, 名称=测试111
[2026-02-07T14:41:37+08:00][info] 任务开始: ID=26, 名称=测试111
[2026-02-07T14:41:44+08:00][info] 任务开始: ID=26, 名称=测试111
[2026-02-07T14:41:52+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-07T14:41:57+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-07T14:42:13+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-07T16:13:31+08:00][info] 任务停止: ID=37, 名称=二1
[2026-02-07T16:13:34+08:00][info] 任务停止: ID=36, 名称=二2
[2026-02-07T16:13:36+08:00][info] 任务停止: ID=35, 名称=二3
[2026-02-07T16:13:39+08:00][info] 任务停止: ID=34, 名称=二4
[2026-02-07T16:13:41+08:00][info] 任务停止: ID=33, 名称=二5
[2026-02-07T16:13:43+08:00][info] 任务停止: ID=32, 名称=二6
[2026-02-07T16:22:42+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-07T16:23:04+08:00][info] 任务停止: ID=28, 名称=555
[2026-02-07T17:30:37+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-07T17:30:49+08:00][info] 任务停止: ID=28, 名称=555
[2026-02-07T18:33:52+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-07T18:33:56+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-07T18:34:01+08:00][info] 任务开始: ID=26, 名称=测试111
[2026-02-07T18:34:05+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-07T18:34:09+08:00][info] 任务开始: ID=29, 名称=5
[2026-02-07T18:35:01+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T18:38:57+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T18:39:17+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T18:39:56+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T18:40:41+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T18:42:37+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T18:43:19+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-07T19:51:30+08:00][info] 任务开始: ID=32, 名称=二6
[2026-02-07T19:51:35+08:00][info] 任务开始: ID=33, 名称=二5
[2026-02-07T19:51:39+08:00][info] 任务开始: ID=34, 名称=二4
[2026-02-07T19:51:42+08:00][info] 任务开始: ID=35, 名称=二3
[2026-02-07T19:51:46+08:00][info] 任务开始: ID=36, 名称=二2
[2026-02-07T19:51:49+08:00][info] 任务开始: ID=37, 名称=二1
[2026-02-07T20:04:52+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
