[2026-02-10T00:28:31+08:00][info] 任务停止: ID=32, 名称=二6
[2026-02-10T00:28:51+08:00][info] 任务停止: ID=25, 名称=测试222
[2026-02-10T00:29:09+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T00:29:14+08:00][info] 任务停止: ID=26, 名称=测试111
[2026-02-10T15:23:10+08:00][info] 任务停止: ID=25, 名称=测试222
[2026-02-10T15:23:12+08:00][info] 任务停止: ID=27, 名称=3333
[2026-02-10T15:23:15+08:00][info] 任务停止: ID=28, 名称=555
[2026-02-10T15:23:17+08:00][info] 任务停止: ID=29, 名称=5
[2026-02-10T15:23:20+08:00][info] 任务停止: ID=31, 名称=666
[2026-02-10T15:23:22+08:00][info] 任务停止: ID=33, 名称=二5
[2026-02-10T15:23:25+08:00][info] 任务停止: ID=34, 名称=二4
[2026-02-10T15:23:28+08:00][info] 任务停止: ID=35, 名称=二3
[2026-02-10T15:23:30+08:00][info] 任务停止: ID=36, 名称=二2
[2026-02-10T15:23:36+08:00][info] 任务停止: ID=37, 名称=二1
[2026-02-10T15:38:40+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T15:39:27+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T15:40:12+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T15:41:02+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T15:41:42+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T15:41:51+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-10T15:44:20+08:00][info] 任务停止: ID=25, 名称=测试222
[2026-02-10T15:44:23+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T15:55:59+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-02-10T15:55:59+08:00][error] [0]think\db\PDOConnection::pdoQuery(): Return value must be of type array, bool returned[/www/wwwroot/tdata.tgbota.top/vendor/topthink/think-orm/src/db/PDOConnection.php:729]
[2026-02-10T16:08:41+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T16:09:25+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:10:55+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:11:41+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:12:36+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:13:12+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:13:54+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T16:15:07+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-10T16:15:11+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-10T16:15:17+08:00][info] 任务开始: ID=29, 名称=5
[2026-02-10T16:15:21+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-10T16:15:47+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T16:41:02+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T16:43:04+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T16:43:37+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T16:43:43+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-10T16:52:39+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T16:54:16+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:54:59+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:55:33+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:56:09+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:56:43+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T16:58:14+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T16:58:21+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-10T16:58:25+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-10T16:58:30+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-10T16:58:45+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-10T16:58:51+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-10T16:59:36+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T17:00:08+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-10T17:00:49+08:00][info] 任务开始: ID=29, 名称=5
[2026-02-10T17:08:35+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T17:08:42+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T17:10:44+08:00][info] 任务开始: ID=25, 名称=测试222
[2026-02-10T17:10:50+08:00][info] 任务开始: ID=27, 名称=3333
[2026-02-10T17:10:57+08:00][info] 任务开始: ID=28, 名称=555
[2026-02-10T17:11:01+08:00][info] 任务开始: ID=29, 名称=5
[2026-02-10T17:11:05+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-10T17:12:59+08:00][info] [telegram队列] 批次:  耗时=0.01秒
[2026-02-10T17:13:53+08:00][info] [telegram队列] 批次:  耗时=0秒
[2026-02-10T17:14:51+08:00][info] 任务开始: ID=33, 名称=二5
[2026-02-10T17:14:56+08:00][info] 任务开始: ID=34, 名称=二4
[2026-02-10T17:15:00+08:00][info] 任务开始: ID=35, 名称=二3
[2026-02-10T17:15:05+08:00][info] 任务开始: ID=36, 名称=二2
[2026-02-10T17:15:09+08:00][info] 任务开始: ID=37, 名称=二1
[2026-02-10T17:23:00+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-10T17:33:23+08:00][info] 任务开始: ID=31, 名称=666
[2026-02-10T23:08:04+08:00][error] 错误信息:controller not exists:app\admin\controller\Env
