[2026-02-08T05:16:16+08:00][info] []
[2026-02-08T05:17:52+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T05:18:19+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T05:19:08+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T05:19:16+08:00][info] {"action":"send_messages","api_id":"2040","api_hash":"b18441a1ff607e10a989891a5462e627","tdata_path":"\/www\/wwwroot\/tdata.tgbota.top\/public\/uploads\/admin\/202602\/69862ac4b6550\/817028166309\/tdata\/temp_8570380674.session","proxy":"socks5:\/\/user-splmqynpf0-country-hk:9u6virjzTwd1PRZp4=@isp.decodo.com:10103","session_path":"\/www\/wwwroot\/tdata.tgbota.top\/public\/uploads\/admin\/202602\/69862ac4b6550\/817028166309\/tdata\/temp_8570380674.session","group_id":"8100595640","message_type":"text","message_text":"22\n","first_msg_id":0,"feedback_type":"","last_api_address":"http:\/\/127.0.0.1:5056"}
[2026-02-08T05:19:16+08:00][info] 接口调用成功actionsend_messages,result{"status":true,"message":"发送完成，成功1个，失败0个[]","data":{"success":[{"group_id":8100595640,"group_link":null,"type":"user","message":"发送成功","message_id":668}],"failed":[],"debug":["处理标识符: 8100595640, 清理后: 8100595640, 识别为链接: False, 识别为数字ID: True","通过数字ID获取成功: 8100595640 -> 类型: user, ID: 8100595640"],"warning":""}}
[2026-02-08T05:19:20+08:00][info] {"action":"send_messages","api_id":"2040","api_hash":"b18441a1ff607e10a989891a5462e627","tdata_path":"\/www\/wwwroot\/tdata.tgbota.top\/public\/uploads\/admin\/202602\/69862ac4b6550\/817028166309\/tdata\/temp_8570380674.session","proxy":"socks5:\/\/user-splmqynpf0-country-hk:9u6virjzTwd1PRZp4=@isp.decodo.com:10103","session_path":"\/www\/wwwroot\/tdata.tgbota.top\/public\/uploads\/admin\/202602\/69862ac4b6550\/817028166309\/tdata\/temp_8570380674.session","group_id":"8100595640","message_type":"text","message_text":"3333","first_msg_id":0,"feedback_type":"","last_api_address":"http:\/\/127.0.0.1:5056"}
[2026-02-08T05:19:20+08:00][info] 接口调用成功actionsend_messages,result{"status":true,"message":"发送完成，成功1个，失败0个[]","data":{"success":[{"group_id":8100595640,"group_link":null,"type":"user","message":"发送成功","message_id":669}],"failed":[],"debug":["处理标识符: 8100595640, 清理后: 8100595640, 识别为链接: False, 识别为数字ID: True","通过数字ID获取成功: 8100595640 -> 类型: user, ID: 8100595640"],"warning":""}}
[2026-02-08T05:19:24+08:00][info] {"action":"send_messages","api_id":"2040","api_hash":"b18441a1ff607e10a989891a5462e627","tdata_path":"\/www\/wwwroot\/tdata.tgbota.top\/public\/uploads\/admin\/202602\/69862ac4b6550\/817028166309\/tdata\/temp_8570380674.session","proxy":"socks5:\/\/user-splmqynpf0-country-hk:9u6virjzTwd1PRZp4=@isp.decodo.com:10103","session_path":"\/www\/wwwroot\/tdata.tgbota.top\/public\/uploads\/admin\/202602\/69862ac4b6550\/817028166309\/tdata\/temp_8570380674.session","group_id":"8100595640","message_type":"text","message_text":"4444","first_msg_id":0,"feedback_type":"","last_api_address":"http:\/\/127.0.0.1:5056"}
[2026-02-08T05:19:24+08:00][info] 接口调用成功actionsend_messages,result{"status":true,"message":"发送完成，成功1个，失败0个[]","data":{"success":[{"group_id":8100595640,"group_link":null,"type":"user","message":"发送成功","message_id":670}],"failed":[],"debug":["处理标识符: 8100595640, 清理后: 8100595640, 识别为链接: False, 识别为数字ID: True","通过数字ID获取成功: 8100595640 -> 类型: user, ID: 8100595640"],"warning":""}}
[2026-02-08T05:20:03+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T05:23:31+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T05:24:00+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T05:25:47+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T05:26:08+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T05:30:09+08:00][error] [0]方法不存在[/www/wwwroot/tdata.tgbota.top/app/kefu/controller/Baseinfo.php:146]
[2026-02-08T06:02:10+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:02:28+08:00][info] []
[2026-02-08T16:02:44+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:12:39+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:12:47+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:16:11+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:20:49+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:32:32+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
[2026-02-08T16:33:12+08:00][info] [{"id":1282,"account_status":"正常","count":300}]
